Key,Map
SRC&DST,User 
SRC&DST,Address 
SRC&DST,System 
SRC&DST,Host 
SRC&DST,Hostname
SRC&DST,system
SRC&DST,component
SRC&DST,service
SRC&DST,application
SRC&DST,origin
SRC&DST,module
SRC&DST,subsystem
SRC&DST,application
SRC&DST,node
SRC&DST,agent
SRC&DST,instance
SRC&DST,Device
SRC&DST,Machine
SRC&DST,Endpoint
SRC&DST,Workstation
SRC&DST,Process
SRC&DST,Server
SRC&DST,Router
SRC&DST,Gateway
SRC&DST,Switch
SRC&DST,Interface
SRC&DST,Session
SRC&DST,Task
SRC&DST,Thread
SRC&DST,Container
SRC&DST,Zone
SRC&DST,Domain
SRC&DST,Instance
SRC&DST,VM 
SRC&DST,Virtual Machine
SRC&DST,Pod
SRC&DST,Function
SRC&DST,Role
SRC&DST,App
SRC&DST,application
SRC&DST,Tenant
SRC&DST,Subscriber
SRC&DST,Segment
SRC&DST,Queue
SRC&DST,Channel
SRC&DST,Broker
SRC&DST,Listener
SRC&DST,Adapter
SRC&DST,Cache
SRC&DST,Pool
SRC&DST,Node
SRC&DST,Blade
SRC&DST,Cluster
SRC&DST,Core
SRC&DST,Socket
SRC&DST,Partition
SRC&DST,Drive
SRC&DST,Volume
SRC&DST,Path
SRC&DST,Link
SRC&DST,Resource
SRC&DST,rsrc
SRC&DST,Object
SRC&DST,obj
SRC&DST,acc
SRC&DST,Account
SRC&DST,Credential
SRC&DST,Alias
SRC&DST,Partition
SRC,Source
SRC,Source name
DST,Destination 
DST,Destination name 
NAME,Message 
NAME,Alert 
NAME,name 
NAME,type 
NAME,category 
NAME,warning 
NAME,level 
NAME,Description 
NAME,Desc
NAME,msg
NAME,Context 
NAME,Change 
NAME,Reason 
NAME,Analytic 
NAME,Event
NAME,Detail
NAME,Log
NAME,Note
NAME,Entry
NAME,Incident
NAME,Record
NAME,Notification
NAME,Signal
NAME,Report
NAME,Annotation
NAME,Update
NAME,Item
NAME,Flash
NAME,Call
NAME,Broadcast
NAME,Flag
NAME,Detail
NAME,Signal
NAME,Communication
NAME,Dispatch
NAME,Bulletin
NAME,Feed
NAME,Report
NAME,Statement
NAME,Summary
NAME,Post
NAME,Brief
NAME,Notice
NAME,Disclosure
NAME,Output
NAME,Declaration
NAME,Prompt
NAME,Advisory
NAME,Hint
NAME,Critical 
NAME,info
NAME,warning
NAME,Update
NAME,Excerpt
NAME,Synopsis
NAME,Memo
NAME,Journal
NAME,Extract
NAME,Remark
NAME,Cue
NAME,Highlight
NAME,Snippet
NAME,Summary
NAME,Title
